id,created_at,payload
3062492,2021-06-23 20:24:36.642,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'N38V', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062497,2021-06-23 20:24:56.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': '9U8V', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062503,2021-06-23 20:25:16.616,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'A6H6', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062505,2021-06-23 20:25:26.143,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'PVEY', 'Payload': 'Sgm.bdbx d*', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 0}"
3062509,2021-06-23 20:25:36.664,"{'DeviceID': 'MAMAGPS1', 'MessageID': '04FI', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062514,2021-06-23 20:25:56.598,"{'DeviceID': 'MAMAGPS1', 'MessageID': '9APT', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062519,2021-06-23 20:26:16.694,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'SKA2', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062524,2021-06-23 20:26:36.605,"{'DeviceID': 'MAMAGPS1', 'MessageID': '8NJ2', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062529,2021-06-23 20:26:56.609,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'T4YC', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062534,2021-06-23 20:27:16.600,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'AE6E', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062539,2021-06-23 20:27:36.607,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'P9FU', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062544,2021-06-23 20:27:56.751,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'TQK7', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062549,2021-06-23 20:28:16.601,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'C6Y9', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062554,2021-06-23 20:28:36.606,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'EO1V', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062559,2021-06-23 20:28:56.603,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'BVJY', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062564,2021-06-23 20:29:16.607,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'DE2W', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062569,2021-06-23 20:29:36.602,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'CIYB', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062574,2021-06-23 20:29:56.601,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'FDT7', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062580,2021-06-23 20:30:16.606,"{'DeviceID': 'MAMAGPS1', 'MessageID': '1EBG', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
